778  3
-0.040783  0.004960  -0.026660
-0.040732  0.001530  -0.026575
-0.037456  0.004074  -0.041361
-0.038054  0.000294  -0.040937
-0.036363  -0.002976  -0.037058
-0.041790  0.003315  -0.042648
-0.043743  0.007881  -0.040799
-0.058787  0.006147  -0.033880
-0.053346  0.006493  -0.032134
-0.053202  0.007110  -0.033214
-0.058624  0.007335  -0.035156
-0.047024  0.008542  -0.031379
-0.048480  0.008681  -0.032823
-0.046541  0.009402  -0.036057
-0.052546  0.008894  -0.038147
-0.050129  0.005961  -0.042747
-0.055152  0.005987  -0.043673
-0.057734  0.008894  -0.039662
-0.045858  0.008019  -0.040163
-0.061160  0.007195  -0.037110
-0.062484  0.006759  -0.035786
-0.044213  0.009760  -0.035547
-0.046231  0.005163  -0.028076
-0.053521  0.004138  -0.030437
-0.059210  0.003509  -0.032051
-0.062264  0.003113  -0.035168
-0.052960  0.000373  -0.030762
-0.058192  0.000518  -0.032693
-0.061009  0.000257  -0.035446
-0.052033  -0.002323  -0.032361
-0.056802  -0.001943  -0.034342
-0.042206  -0.001895  -0.029110
-0.044435  0.001419  -0.027621
-0.059457  -0.001303  -0.036120
-0.062336  0.006664  -0.040560
-0.062492  0.002427  -0.040669
-0.060804  0.007343  -0.040202
-0.048956  0.004884  -0.043727
-0.055328  0.004243  -0.045333
-0.048208  0.002201  -0.044151
-0.054732  0.001528  -0.045624
-0.059367  0.005119  -0.044517
-0.058962  0.005983  -0.043721
-0.039168  -0.001811  -0.028301
-0.037368  -0.003774  -0.032469
-0.040476  -0.003915  -0.033041
-0.051029  -0.004210  -0.036298
-0.039412  -0.003326  -0.037587
-0.042340  -0.000154  -0.042008
-0.048545  -0.000743  -0.042950
-0.049746  -0.003226  -0.040512
-0.054450  -0.000923  -0.044332
-0.053969  -0.002396  -0.041936
-0.055785  -0.003771  -0.037727
-0.058335  -0.000208  -0.043291
-0.059165  0.002303  -0.044690
-0.061152  -0.000359  -0.039809
-0.057359  -0.001961  -0.041714
-0.059354  -0.002055  -0.038992
0.009200  -0.003597  -0.021206
0.001191  -0.005035  -0.048083
0.002603  -0.008064  -0.050387
0.006312  -0.008388  -0.048872
0.005124  -0.005968  -0.045815
0.004971  0.005095  -0.051221
0.002141  0.002380  -0.048672
0.005865  0.002549  -0.046044
0.008662  0.005299  -0.048611
0.007893  0.004634  -0.055341
0.011621  0.004482  -0.053051
0.011272  0.005801  -0.046811
0.008903  0.002650  -0.043829
0.020568  0.002787  -0.033789
0.024279  0.006161  -0.036332
0.034153  -0.008392  -0.041626
0.031814  -0.011818  -0.037306
0.025376  -0.010102  -0.041358
0.028196  -0.008209  -0.044465
0.001063  -0.001276  -0.047666
0.004416  -0.001991  -0.044880
0.015825  -0.008677  -0.053433
0.012796  -0.010331  -0.050211
0.008533  -0.009990  -0.051918
0.011030  -0.009073  -0.055759
0.027436  -0.011292  -0.033760
0.024538  -0.009819  -0.030523
0.020911  -0.008232  -0.033291
0.022114  -0.009807  -0.037876
0.018145  -0.003914  -0.031698
0.017173  -0.005196  -0.055329
0.017334  0.000662  -0.055166
0.031638  0.000449  -0.046142
0.031134  -0.004346  -0.045556
0.007261  -0.001764  -0.042755
0.009867  -0.009269  -0.047035
0.008060  -0.006609  -0.044043
0.014685  0.005344  -0.051626
0.013422  0.000178  -0.057128
0.001507  -0.005297  -0.064395
0.009581  -0.005540  -0.059757
0.007228  -0.009115  -0.057460
0.000155  -0.007729  -0.063016
0.013158  -0.005379  -0.057661
0.009602  0.000200  -0.059374
-0.006426  -0.004920  -0.053221
-0.004005  -0.008320  -0.056304
-0.006522  -0.001713  -0.052619
0.028315  0.006429  -0.041889
-0.003551  0.004038  -0.056270
-0.006143  0.001540  -0.053734
0.004565  -0.009502  -0.053671
-0.001719  -0.009009  -0.060004
0.001733  -0.000879  -0.064104
0.000148  0.003828  -0.060596
-0.002408  -0.000930  -0.066152
-0.003898  0.003395  -0.062147
-0.008071  0.003074  -0.057623
-0.009072  0.000518  -0.055079
-0.009302  -0.002534  -0.054110
-0.002307  -0.005392  -0.066405
-0.003110  -0.007908  -0.064725
-0.004122  -0.009285  -0.061319
-0.006277  -0.005620  -0.068310
-0.008445  -0.001317  -0.068311
-0.021178  -0.002567  -0.063821
-0.017907  -0.001448  -0.061723
-0.017464  -0.000945  -0.062734
-0.021100  -0.001667  -0.064490
-0.013314  0.001032  -0.060406
-0.013778  0.000812  -0.062016
-0.011031  0.001100  -0.064320
-0.015570  -0.000116  -0.066554
-0.013509  -0.003183  -0.070446
-0.017368  -0.003742  -0.071789
-0.018813  -0.000705  -0.068405
-0.010402  -0.000705  -0.068097
-0.022886  -0.001697  -0.066556
-0.024059  -0.002417  -0.066385
-0.009450  0.002114  -0.063744
-0.013227  -0.001174  -0.056906
-0.018988  -0.003226  -0.060330
-0.022851  -0.004134  -0.063391
-0.024531  -0.004624  -0.066704
-0.017980  -0.005436  -0.059353
-0.022729  -0.006428  -0.062898
-0.024198  -0.006931  -0.066173
-0.016447  -0.008423  -0.059590
-0.021099  -0.008557  -0.063182
-0.010452  -0.007288  -0.056134
-0.012302  -0.004171  -0.055819
-0.022800  -0.008052  -0.065812
-0.023092  -0.002638  -0.070169
-0.023687  -0.005529  -0.069788
-0.021899  -0.001628  -0.070132
-0.012743  -0.004295  -0.070927
-0.017446  -0.005204  -0.072550
-0.012002  -0.006775  -0.070781
-0.017589  -0.007369  -0.072156
-0.020933  -0.004563  -0.072431
-0.020075  -0.003074  -0.071713
-0.008668  -0.006298  -0.054946
-0.006147  -0.008495  -0.057445
-0.008049  -0.009416  -0.058901
-0.014238  -0.010628  -0.062002
-0.006151  -0.009888  -0.062893
-0.005705  -0.008155  -0.066371
-0.011998  -0.009002  -0.069111
-0.012722  -0.010732  -0.066232
-0.018048  -0.009093  -0.070816
-0.018237  -0.010546  -0.068104
-0.019338  -0.010503  -0.065070
-0.021680  -0.008008  -0.070339
-0.021703  -0.006638  -0.071679
-0.023243  -0.007373  -0.068833
-0.021310  -0.009191  -0.068776
-0.022052  -0.008891  -0.067383
0.033764  -0.004986  -0.043631
0.034630  -0.002150  0.067192
0.031267  -0.003889  0.062866
0.032793  -0.019990  0.063228
0.029057  -0.014795  0.060513
0.037078  -0.021436  0.068180
0.042802  -0.014389  0.074207
0.041315  -0.018939  0.071433
0.028555  -0.008828  0.060364
0.038898  -0.002719  0.071529
0.042693  -0.007716  0.074626
0.032158  -0.003386  0.075513
0.035992  -0.008767  0.078905
0.036253  -0.015600  0.079331
0.035293  -0.020859  0.075612
0.032829  -0.023206  0.071994
0.028524  -0.003400  0.069914
0.025690  -0.005539  0.065506
0.024703  -0.011258  0.062403
0.020749  -0.005358  0.072162
0.016515  -0.008067  0.081205
0.012044  -0.023270  0.091841
0.017738  -0.022816  0.088137
0.016872  -0.020084  0.089056
0.012151  -0.020661  0.092858
0.021878  -0.019672  0.086377
0.019883  -0.018200  0.086928
0.019148  -0.013223  0.085250
0.014880  -0.013863  0.088589
0.015722  -0.009917  0.083137
0.011912  -0.010182  0.084357
0.010481  -0.014341  0.091861
0.009154  -0.019072  0.095106
0.006526  -0.015117  0.094382
0.007266  -0.021698  0.094069
0.020726  -0.012045  0.085877
0.026606  -0.023076  0.081675
0.018682  -0.025302  0.085151
0.011405  -0.025567  0.088669
0.005954  -0.023251  0.091354
0.017610  -0.026740  0.080740
0.010708  -0.025835  0.084051
0.005724  -0.023176  0.086045
0.015538  -0.025551  0.076271
0.009549  -0.024185  0.080453
0.026396  -0.023134  0.068910
0.027960  -0.025043  0.075305
0.006405  -0.022490  0.083185
0.003716  -0.016359  0.094105
0.002231  -0.018095  0.090914
0.011032  -0.008582  0.081247
0.007723  -0.010132  0.087743
0.006116  -0.009918  0.084825
0.010897  -0.008524  0.077027
0.005051  -0.010633  0.082044
0.003244  -0.011928  0.089516
0.005848  -0.011667  0.091157
0.029994  -0.021913  0.066544
0.027235  -0.017070  0.062837
0.023800  -0.018076  0.064937
0.013368  -0.020724  0.071932
0.020583  -0.012584  0.064435
0.019686  -0.007449  0.067847
0.010445  -0.010542  0.073653
0.011306  -0.014858  0.071317
0.005050  -0.013311  0.079319
0.005999  -0.016029  0.078006
0.007473  -0.020796  0.078377
0.002785  -0.015665  0.083584
0.002138  -0.013254  0.086502
0.002908  -0.019331  0.086132
0.004263  -0.017099  0.081446
0.004733  -0.019925  0.082687
0.037621  -0.013519  -0.035156
0.033942  -0.013919  -0.029809
0.041154  -0.014942  -0.029338
0.050960  -0.015764  -0.027261
0.061300  -0.014086  -0.030405
0.049004  -0.014688  -0.020857
0.039070  -0.013890  -0.023468
0.028878  -0.011742  -0.024548
0.055416  -0.012858  -0.012743
